OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,ReportingPeriodType,Period,GeoEntityName,GeoCode,GeoName,GeoURI,HholdWasteCollectedPerPersonKg,HholdWasteRecycledPercentage
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2016-04-01T00:00:00,2017-03-31T23:59:59,,Financial Year,2016-2017,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,376.3,36.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2016-04-01T00:00:00,2017-03-31T23:59:59,,Financial Year,2016-2017,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,415.7,46.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2016-04-01T00:00:00,2017-03-31T23:59:59,,Financial Year,2016-2017,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,336.9,28.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2016-04-01T00:00:00,2017-03-31T23:59:59,,Financial Year,2016-2017,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,388.8,43.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2016-04-01T00:00:00,2017-03-31T23:59:59,,Financial Year,2016-2017,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,438.7,48.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2015-04-01T00:00:00,2016-03-31T23:59:59,,Financial Year,2015-2016,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,465.9,47
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2015-04-01T00:00:00,2016-03-31T23:59:59,,Financial Year,2015-2016,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,412.2,41
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2015-04-01T00:00:00,2016-03-31T23:59:59,,Financial Year,2015-2016,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,400.3,46.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2015-04-01T00:00:00,2016-03-31T23:59:59,,Financial Year,2015-2016,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,371.2,35.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2015-04-01T00:00:00,2016-03-31T23:59:59,,Financial Year,2015-2016,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,410.9,46
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2015-04-01T00:00:00,2016-03-31T23:59:59,,Financial Year,2015-2016,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,333.6,27.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2015-04-01T00:00:00,2016-03-31T23:59:59,,Financial Year,2015-2016,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,380.6,43.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2015-04-01T00:00:00,2016-03-31T23:59:59,,Financial Year,2015-2016,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,432.3,50
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2014-04-01T00:00:00,2015-03-31T23:59:59,,Financial Year,2014-2015,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,472.6,49.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2014-04-01T00:00:00,2015-03-31T23:59:59,,Financial Year,2014-2015,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,413.3,44.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2014-04-01T00:00:00,2015-03-31T23:59:59,,Financial Year,2014-2015,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,407.2,46.5
